"","totalmoosena","SurveyID","SurveyName","Surveyyear","ID","Intid","Stratname","Counted","GMU","AreaMi","centrlat","centrlon","YBULL_SF","YBULL_GTSF","BULL_30_40","BULL_41_50","BULL_GT_50","COW_W_0","COW_W_1","COW_W_2","CALF","UNKNOWN","totalmoose","TotalAdults","TotalCows","TotalBulls","TotalCalves","datecounted","searchmin","comments","ELEV_MEAN","prp_burn_1_30","prp_burn_31_60","prop.cov.1","prop.cov.2","prop.cov.3","prop.cov.4","prop.cov.5","prop.cov.6","prop.cov.7","prop.cov.6_7","prop.cov.8","prop.cov.9","prop.cov.10","prop.cov.11","prop.cov.12","prop.cov.13","prop.cov.14","prop.cov.15","prop.cov.99","stratfact","xcoords","ycoords"
"1",NA,676,"20E TAYLOR CORRIDOR",2014,"6342-14305",NA,"HIGH",0,"20E",5.909,63.7167,-143.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,966.5625,1,0,0.000176388,NA,NA,0.07784572,0.2855127,0.103363123,5.88e-05,0.103421923,0.312029633,0.017579962,0.094308561,0.108360771,NA,NA,0.000764346,NA,NA,"HIGH",59.7805107172706,122.142046053883
"2",NA,676,"20E TAYLOR CORRIDOR",2014,"6344-14305",NA,"HIGH",0,"20E",5.902,63.75,-143.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,874.3125,1,0,0.001589544,5.89e-05,0.000176616,0.136995172,0.097668668,0.097786412,0.000176616,0.097963028,0.220240198,0.011244554,0.234369481,0.187860591,5.89e-05,NA,0.011656658,0.000117744,NA,"HIGH",59.8233728836734,125.852528811092
"3",NA,676,"20E TAYLOR CORRIDOR",2014,"6356-14305",NA,"HIGH",0,"20E",5.861,63.95,-143.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,895.8666,0.33629934,0,0.349712524,NA,NA,0.289372296,0.121391737,0.079366961,NA,0.079366961,0.051508506,0.006934977,0.048959753,0.052753245,NA,NA,NA,NA,NA,"HIGH",60.0810654776704,148.138071481939
"4",NA,676,"20E TAYLOR CORRIDOR",2014,"6358-14305",NA,"HIGH",0,"20E",5.854,63.9833,-143.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1160.7333,0,0,0.03709419,5.94e-05,0.000296754,0.071873702,0.151997151,0.407205175,0.002077275,0.40928245,0.181494451,0.071280195,0.040714582,0.029616001,NA,NA,0.006291175,NA,NA,"HIGH",60.1240148089903,151.848674291465
"5",NA,676,"20E TAYLOR CORRIDOR",2014,"6400-14305",NA,"HIGH",0,"20E",5.847,64.0167,-143.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1228.9333,0,0,0.009390788,NA,0.007726597,0.096463596,0.103179792,0.252065379,0.00820208,0.260267459,0.175988113,0.089390788,0.130044577,0.049271917,NA,NA,0.078276374,NA,NA,"HIGH",60.1671055562607,155.570437203744
"6",NA,676,"20E TAYLOR CORRIDOR",2014,"6402-14305",NA,"HIGH",0,"20E",5.84,64.05,-143.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1290.625,0,0,0.000416518,NA,0.003153636,0.03582054,0.140307033,0.248958705,0.0046412,0.253599905,0.182851363,0.103831965,0.168927764,0.04278234,NA,NA,0.068308937,NA,NA,"HIGH",60.2100796764405,159.281074197914
"7",NA,676,"20E TAYLOR CORRIDOR",2014,"6404-14305",NA,"HIGH",0,"20E",5.833,64.0833,-143.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1237.1333,0,0,0.010362694,NA,0.000595557,0.092847359,0.185456495,0.22220237,0.002144006,0.224346376,0.12756834,0.10255494,0.136203919,0.065392174,NA,NA,0.054672146,NA,NA,"HIGH",60.2530661505746,162.991728235682
"8",NA,676,"20E TAYLOR CORRIDOR",2014,"6344-14300",NA,"HIGH",0,"20E",5.902,63.75,-143.0417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,806.2143,1,0,0.039623197,NA,0.002060642,0.27512511,0.174565793,0.112805417,NA,0.112805417,0.113570798,0.015660877,0.121931116,0.144362673,NA,NA,0.000294377,NA,NA,"HIGH",63.9341031552626,125.807716783161
"9",12,676,"20E TAYLOR CORRIDOR",2014,"6348-14300",NA,"HIGH",1,"20E",5.888,63.8167,-143.0417,0,0,0,0,0,8,2,0,0,0,12,10,10,0,2,NA,NA,NA,708.5,1,0,0.000472144,NA,NA,0.006196884,0.464530217,0.245278565,NA,0.245278565,0.169204438,0.009442871,0.048276676,0.045561851,NA,0.001593484,0.000826251,0.008616619,NA,"HIGH",64.0102993521471,133.239956592135
"10",NA,676,"20E TAYLOR CORRIDOR",2014,"6350-14300",NA,"LOW",0,"20E",5.882,63.85,-143.0417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,692.5,1,0,0.015538225,NA,0.001240695,0.024695734,0.339005081,0.433297885,NA,0.433297885,0.026409075,0.02097365,0.009807397,0.123892237,NA,0.001004372,0.000590807,0.003544842,NA,"LOW",64.0483569311872,136.95053095329
