"","totalmoosena","SurveyID","SurveyName","Surveyyear","ID","Intid","Stratname","Counted","GMU","AreaMi","centrlat","centrlon","YBULL_SF","YBULL_GTSF","BULL_30_40","BULL_41_50","BULL_GT_50","COW_W_0","COW_W_1","COW_W_2","CALF","UNKNOWN","totalmoose","TotalAdults","TotalCows","TotalBulls","TotalCalves","datecounted","searchmin","comments","ELEV_MEAN","prp_burn_1_30","prp_burn_31_60","prop.cov.1","prop.cov.2","prop.cov.3","prop.cov.4","prop.cov.5","prop.cov.6","prop.cov.7","prop.cov.6_7","prop.cov.8","prop.cov.9","prop.cov.10","prop.cov.11","prop.cov.12","prop.cov.13","prop.cov.14","prop.cov.15","prop.cov.99","stratfact"
"1",NA,107,"20E TOK CENTRAL",2004,"6300-14100",NA,"LOW",0,"20E",6.054,63.0167,-141.0417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,638.5333,0,0,0.188106308,0.012054417,0.044027323,0.574938293,0.066988118,0.040525802,NA,0.040525802,0.000516618,0.001377648,0.036507663,0.032432122,NA,NA,0.002525687,NA,NA,"LOW"
"2",NA,107,"20E TOK CENTRAL",2004,"6300-14105",NA,"LOW",0,"20E",6.054,63.0167,-141.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,763.25,0,0,0.038108356,0.006198347,0.016127181,0.405188246,0.013200184,0.032828283,NA,0.032828283,0.002008724,0.000459137,0.425103306,0.016815886,NA,NA,0.043962351,NA,NA,"LOW"
"3",NA,107,"20E TOK CENTRAL",2004,"6302-14100",NA,"LOW",0,"20E",6.047,63.05,-141.0417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,683.75,0,0,0.08638924,0.006494999,0.033279687,0.664329233,0.071789861,0.076273135,NA,0.076273135,0.002069203,0.00189677,0.001494425,0.055868491,NA,NA,0.000114956,NA,NA,"LOW"
"4",0,107,"20E TOK CENTRAL",2004,"6302-14105",NA,"LOW",1,"20E",6.047,63.05,-141.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,719.2667,0,0,0.221315714,0.021315714,0.106118931,0.491755243,0.027348463,0.072852629,NA,0.072852629,0.004883654,0.000287274,0.041999425,0.009709853,NA,NA,0.0024131,NA,NA,"LOW"
"5",13,107,"20E TOK CENTRAL",2004,"6302-14110",NA,"HIGH",1,"20E",6.047,63.05,-141.2083,1,1,0,0,0,9,1,0,0,0,13,12,10,2,1,NA,NA,NA,844.3333,0,0,0.022125165,0.008850066,0.015918625,0.431469456,0.016550773,0.151198207,NA,0.151198207,0.008102983,5.75e-05,0.314981898,0.023849204,NA,NA,0.006896155,NA,NA,"HIGH"
"6",NA,107,"20E TOK CENTRAL",2004,"6304-14100",NA,"LOW",0,"20E",6.04,63.0833,-141.0417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,677.7059,0,0,0.148544471,0.004142216,0.025773789,0.619606489,0.076400874,0.085203084,NA,0.085203084,0.015130595,0.002703947,0.005522955,0.016856518,NA,NA,0.000115062,NA,NA,"LOW"
"7",NA,107,"20E TOK CENTRAL",2004,"6304-14105",NA,"LOW",0,"20E",6.04,63.0833,-141.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,626.8,0,0,0.274876337,0.000115035,0.01380421,0.571781893,0.070746578,0.01708271,NA,0.01708271,0.012653859,0.002703325,0.011791096,0.024387438,NA,NA,5.75e-05,NA,NA,"LOW"
"8",NA,107,"20E TOK CENTRAL",2004,"6304-14110",NA,"LOW",0,"20E",6.04,63.0833,-141.2083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,726.875,0.16878787,0,0.149531097,0.004717795,0.08808469,0.552039583,0.04165468,0.096829872,NA,0.096829872,0.016167079,0.000863011,0.005523273,0.043956044,NA,0.000172602,0.000172602,0.00028767,NA,"LOW"
"9",NA,107,"20E TOK CENTRAL",2004,"6306-14100",NA,"LOW",0,"20E",6.034,63.1167,-141.0417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,657.0625,0,0,0.109031218,0.002246285,0.017336712,0.571535537,0.086971547,0.159659025,NA,0.159659025,0.015551204,0.000115194,0.002822256,0.034731022,NA,NA,NA,NA,NA,"LOW"
"10",NA,107,"20E TOK CENTRAL",2004,"6306-14105",NA,"LOW",0,"20E",6.034,63.1167,-141.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,598.6875,0,0,0.245263461,5.76e-05,0.003052116,0.543737403,0.069680392,0.038410596,NA,0.038410596,0.012381227,0.000345523,0.034149151,0.052922545,NA,NA,NA,NA,NA,"LOW"
