"","totalmoosena","SurveyID","SurveyName","Surveyyear","ID","Intid","Stratname","Counted","GMU","AreaMi","centrlat","centrlon","YBULL_SF","YBULL_GTSF","BULL_30_40","BULL_41_50","BULL_GT_50","COW_W_0","COW_W_1","COW_W_2","CALF","UNKNOWN","totalmoose","TotalAdults","TotalCows","TotalBulls","TotalCalves","datecounted","searchmin","comments","ELEV_MEAN","prp_burn_1_30","prp_burn_31_60","prop.cov.1","prop.cov.2","prop.cov.3","prop.cov.4","prop.cov.5","prop.cov.6","prop.cov.7","prop.cov.6_7","prop.cov.8","prop.cov.9","prop.cov.10","prop.cov.11","prop.cov.12","prop.cov.13","prop.cov.14","prop.cov.15","prop.cov.99","stratfact"
"1",13,107,"20E TOK CENTRAL",2004,"6302-14110",NA,"HIGH",1,"20E",6.047,63.05,-141.2083,1,1,0,0,0,9,1,0,0,0,13,12,10,2,1,NA,NA,NA,844.3333,0,0,0.022125165,0.008850066,0.015918625,0.431469456,0.016550773,0.151198207,NA,0.151198207,0.008102983,5.75e-05,0.314981898,0.023849204,NA,NA,0.006896155,NA,NA,"HIGH"
"2",7,107,"20E TOK CENTRAL",2004,"6314-14120",NA,"HIGH",1,"20E",6.006,63.25,-141.375,0,0,0,1,1,3,1,0,0,0,7,6,4,2,1,NA,NA,NA,1015.353,0.001183528,0,0.054462322,0.000463017,0.001620558,0.427769418,0.110082185,0.208994097,0.002835976,0.211830073,0.001909943,0.095670795,0.007176757,0.088320407,NA,NA,0.000694525,NA,NA,"HIGH"
"3",NA,107,"20E TOK CENTRAL",2004,"6318-14140",NA,"HIGH",0,"20E",5.992,63.3167,-141.7083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,776.1334,0,0.149372215,0.215797715,NA,0.010728991,0.667053297,0.007829264,0.037406484,NA,0.037406484,NA,NA,NA,0.061184249,NA,NA,NA,NA,NA,"HIGH"
"4",NA,107,"20E TOK CENTRAL",2004,"6318-14145",NA,"HIGH",0,"20E",5.992,63.3167,-141.7917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,862.5625,0,0.407096768,0.083758701,NA,0.008178654,0.598549884,0.034454756,0.136774942,5.8e-05,0.136832942,NA,0.002958237,0.000464037,0.134802784,NA,NA,NA,NA,NA,"HIGH"
"5",NA,107,"20E TOK CENTRAL",2004,"6318-14155",NA,"HIGH",0,"20E",5.992,63.3167,-141.9583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,862.8125,0,0.647150554,0.066461753,0.004233602,0.06043032,0.591544395,0.016238474,0.211100157,NA,0.211100157,0.010207041,5.8e-05,0.000173984,0.039552282,NA,NA,NA,NA,NA,"HIGH"
"6",NA,107,"20E TOK CENTRAL",2004,"6320-14120",NA,"HIGH",0,"20E",5.986,63.35,-141.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,981.75,0.121302302,0.00141762,0.036033422,0.002146919,0.019844493,0.468492515,0.109841012,0.280317976,0.000232099,0.280550075,0.006208657,0.00696298,0.011546942,0.057328537,NA,NA,0.001044447,NA,NA,"HIGH"
"7",6,107,"20E TOK CENTRAL",2004,"6320-14140",NA,"HIGH",1,"20E",5.986,63.35,-141.7083,0,0,0,0,2,2,1,0,0,0,6,5,3,2,1,NA,NA,NA,782.8125,0,0.602340141,0.048241031,0.001799605,0.008765819,0.534366655,0.160977592,0.155404621,NA,0.155404621,0.002728434,0.000928829,0.003889469,0.082897945,NA,NA,NA,NA,NA,"HIGH"
"8",14,107,"20E TOK CENTRAL",2004,"6320-14145",NA,"HIGH",1,"20E",5.986,63.35,-141.7917,0,0,0,0,0,4,5,0,0,0,14,9,9,0,5,NA,NA,NA,866.8571,0,0.747861166,0.036748911,0.001973875,0.024441219,0.497358491,0.072104499,0.268795356,0.00011611,0.268911466,0.005979681,0.001567489,0.000348331,0.090566038,NA,NA,NA,NA,NA,"HIGH"
"9",NA,107,"20E TOK CENTRAL",2004,"6320-14205",NA,"HIGH",0,"20E",5.986,63.35,-142.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,846.9333,0,0.946795066,0.053169259,0.032214999,0.061295565,0.298293476,0.076793592,0.413628976,0.000174135,0.413803111,0.012247504,0.000174135,0.001683306,0.050325052,NA,NA,NA,NA,NA,"HIGH"
"10",NA,107,"20E TOK CENTRAL",2004,"6322-14140",NA,"HIGH",0,"20E",5.978,63.3833,-141.7083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,790.2,0,0.985442194,0.023368017,0.01156775,0.028425275,0.500029065,0.061907807,0.259257106,NA,0.259257106,0.009068186,0.002383305,0.010114515,0.093878975,NA,NA,NA,NA,NA,"HIGH"
