"","totalmoosena","SurveyID","SurveyName","Surveyyear","ID","Intid","Stratname","Counted","GMU","AreaMi","centrlat","centrlon","YBULL_SF","YBULL_GTSF","BULL_30_40","BULL_41_50","BULL_GT_50","COW_W_0","COW_W_1","COW_W_2","CALF","UNKNOWN","totalmoose","TotalAdults","TotalCows","TotalBulls","TotalCalves","datecounted","searchmin","comments","ELEV_MEAN","prp_burn_1_30","prp_burn_31_60","prop.cov.1","prop.cov.2","prop.cov.3","prop.cov.4","prop.cov.5","prop.cov.6","prop.cov.7","prop.cov.6_7","prop.cov.8","prop.cov.9","prop.cov.10","prop.cov.11","prop.cov.12","prop.cov.13","prop.cov.14","prop.cov.15","prop.cov.99","stratfact","xcoords","ycoords"
"1",NA,676,"20E TAYLOR CORRIDOR",2014,"6346-14305",NA,"LOW",0,"20E",5.895,63.7833,-143.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,794.2857,1,0,0.002121891,NA,NA,0.111811859,0.041494754,0.174761287,NA,0.174761287,0.107450195,0.001768242,0.381291996,0.178946128,NA,NA,0.000353648,NA,NA,"LOW",59.8662475352334,129.563028749696
"2",NA,676,"20E TAYLOR CORRIDOR",2014,"6348-14305",NA,"LOW",0,"20E",5.888,63.8167,-143.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,709.5333,1,0,0.022713864,NA,0.000471976,0.135634218,0.24519174,0.301238938,NA,0.301238938,0.034513274,0.017227139,0.079764012,0.154749263,NA,0.001179941,0.001828909,0.005486726,NA,"LOW",59.9092634663291,133.284688574342
"3",NA,676,"20E TAYLOR CORRIDOR",2014,"6350-14305",NA,"LOW",0,"20E",5.882,63.85,-143.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,704.6667,1,0,0.00525694,NA,NA,0.020850561,0.397401063,0.345776728,NA,0.345776728,0.03520378,0.046367395,0.021323095,0.107914944,NA,0.003898405,0.005788541,0.010218547,NA,"LOW",59.952163081949,136.995222881592
"4",1,676,"20E TAYLOR CORRIDOR",2014,"6352-14305",NA,"LOW",1,"20E",5.875,63.8833,-143.125,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,NA,NA,NA,718.7857,1,0,0.045427659,NA,0.001301313,0.021708269,0.420856501,0.271619543,NA,0.271619543,0.084644505,0.021235064,0.067076777,0.066071217,NA,NA,5.92e-05,NA,NA,"LOW",59.9950751390346,140.70577432452
"5",NA,676,"20E TAYLOR CORRIDOR",2014,"6354-14305",NA,"LOW",0,"20E",5.868,63.9167,-143.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,749.2,1,0,0.018241042,NA,0.000414569,0.017944922,0.411904057,0.279715724,NA,0.279715724,0.097601421,0.031684927,0.089013918,0.052294936,NA,0.000533017,0.000118448,0.000533017,NA,"LOW",60.038128544082,144.427485762156
"6",1,676,"20E TAYLOR CORRIDOR",2014,"6342-14300",NA,"HIGH",1,"20E",5.909,63.7167,-143.0417,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,NA,NA,NA,854.4375,1,0,0.086038579,0.000294048,0.003587391,0.386908963,0.099917666,0.140261115,0.000352858,0.140613973,0.083450953,0.005822159,0.062749941,0.130439896,0.000117619,NA,5.88e-05,NA,NA,"HIGH",63.8960788004504,122.097194154248
"7",NA,676,"20E TAYLOR CORRIDOR",2014,"6346-14300",NA,"HIGH",0,"20E",5.895,63.7833,-143.0417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,759.0625,1,0,0,NA,NA,0.012674645,0.192477746,0.350763426,NA,0.350763426,0.161645935,0.007251076,0.199257207,0.07575311,NA,NA,0.000176856,NA,NA,"HIGH",63.9721385866665,129.518256654195
"8",NA,676,"20E TAYLOR CORRIDOR",2014,"6352-14300",NA,"LOW",0,"20E",5.875,63.8833,-143.0417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,707.625,0.999997417,0,0.001183082,NA,0.000177462,0.006033718,0.542738835,0.352972493,NA,0.352972493,0.049393671,0.001656315,0.001419698,0.034723455,NA,0.00260278,0.00130139,0.005797101,NA,"LOW",64.0864255480583,140.661122510687
"9",NA,676,"20E TAYLOR CORRIDOR",2014,"6354-14300",NA,"LOW",0,"20E",5.868,63.9167,-143.0417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,734.125,0.28219257,0,0.116671602,NA,5.92e-05,0.272727273,0.144210838,0.256026059,NA,0.256026059,0.012792419,0.001480604,0.020373112,0.138169973,NA,0.002605863,0.001184483,0.033698549,NA,"LOW",64.1246195597141,144.382874244042
"10",1,676,"20E TAYLOR CORRIDOR",2014,"6356-14300",NA,"LOW",1,"20E",5.861,63.95,-143.0417,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,NA,NA,NA,834.5714,0.397778677,0,0.14564431,NA,0.000889521,0.401529977,0.217636245,0.071221016,NA,0.071221016,0.034691336,0.0083022,0.022060132,0.09790666,5.93e-05,NA,5.93e-05,NA,NA,"LOW",64.1627102465456,148.093500199445
